index	prediction
0	entailment
1	contradiction
2	neutral
3	neutral
4	entailment
5	entailment
6	contradiction
7	neutral
8	contradiction
9	entailment
10	neutral
11	neutral
12	neutral
13	neutral
14	entailment
15	contradiction
16	neutral
17	contradiction
18	neutral
19	neutral
20	entailment
21	neutral
22	contradiction
23	neutral
24	neutral
25	entailment
26	contradiction
27	neutral
28	entailment
29	neutral
30	neutral
31	entailment
32	entailment
33	entailment
34	contradiction
35	entailment
36	entailment
37	neutral
38	neutral
39	neutral
40	contradiction
41	neutral
42	contradiction
43	neutral
44	contradiction
45	entailment
46	neutral
47	entailment
48	neutral
49	entailment
50	entailment
51	entailment
52	entailment
53	neutral
54	neutral
55	neutral
56	contradiction
57	contradiction
58	contradiction
59	neutral
60	entailment
61	entailment
62	neutral
63	neutral
64	contradiction
65	entailment
66	entailment
67	neutral
68	contradiction
69	entailment
70	neutral
71	entailment
72	contradiction
73	entailment
74	contradiction
75	entailment
76	neutral
77	contradiction
78	contradiction
79	entailment
80	contradiction
81	neutral
82	neutral
83	contradiction
84	neutral
85	contradiction
86	neutral
87	entailment
88	contradiction
89	contradiction
90	neutral
91	entailment
92	contradiction
93	neutral
94	contradiction
95	neutral
96	entailment
97	entailment
98	contradiction
99	contradiction
100	entailment
101	neutral
102	neutral
103	entailment
104	neutral
105	neutral
106	neutral
107	contradiction
108	contradiction
109	entailment
110	neutral
111	neutral
112	entailment
113	neutral
114	neutral
115	contradiction
116	contradiction
117	neutral
118	contradiction
119	entailment
120	entailment
121	neutral
122	contradiction
123	contradiction
124	contradiction
125	neutral
126	neutral
127	neutral
128	contradiction
129	contradiction
130	contradiction
131	contradiction
132	contradiction
133	entailment
134	entailment
135	contradiction
136	contradiction
137	entailment
138	contradiction
139	neutral
140	neutral
141	contradiction
142	entailment
143	contradiction
144	entailment
145	entailment
146	neutral
147	contradiction
148	entailment
149	contradiction
150	neutral
151	entailment
152	contradiction
153	entailment
154	entailment
155	contradiction
156	contradiction
157	contradiction
158	entailment
159	entailment
160	contradiction
161	entailment
162	contradiction
163	entailment
164	contradiction
165	neutral
166	contradiction
167	entailment
168	neutral
169	contradiction
170	contradiction
171	neutral
172	neutral
173	neutral
174	entailment
175	contradiction
176	contradiction
177	entailment
178	entailment
179	neutral
180	entailment
181	contradiction
182	entailment
183	entailment
184	neutral
185	neutral
186	contradiction
187	contradiction
188	neutral
189	entailment
190	entailment
191	neutral
192	entailment
193	contradiction
