index	prediction
0	contradiction
1	neutral
2	entailment
3	neutral
4	entailment
5	neutral
6	contradiction
7	entailment
8	neutral
9	entailment
10	contradiction
11	entailment
12	entailment
13	contradiction
14	neutral
15	contradiction
16	contradiction
17	entailment
18	contradiction
19	entailment
20	neutral
21	contradiction
22	entailment
23	entailment
24	contradiction
25	neutral
26	contradiction
27	entailment
28	neutral
29	entailment
30	contradiction
31	entailment
32	contradiction
33	neutral
34	contradiction
35	neutral
36	contradiction
37	neutral
38	neutral
39	neutral
40	neutral
41	entailment
42	neutral
43	contradiction
44	entailment
45	entailment
46	contradiction
47	contradiction
48	neutral
49	entailment
50	entailment
51	contradiction
52	neutral
53	contradiction
54	entailment
55	neutral
56	entailment
57	entailment
58	entailment
59	entailment
60	neutral
61	neutral
62	contradiction
63	neutral
64	entailment
65	entailment
66	entailment
67	entailment
68	neutral
69	entailment
70	entailment
71	neutral
72	entailment
73	contradiction
74	entailment
75	neutral
76	contradiction
77	contradiction
78	entailment
79	contradiction
80	entailment
81	contradiction
82	contradiction
83	entailment
84	entailment
85	entailment
86	neutral
87	neutral
88	entailment
89	contradiction
90	neutral
91	neutral
92	neutral
93	neutral
94	entailment
95	contradiction
96	contradiction
97	entailment
98	neutral
99	contradiction
100	contradiction
101	contradiction
102	entailment
103	contradiction
104	entailment
105	neutral
106	neutral
107	entailment
108	neutral
109	entailment
110	contradiction
111	neutral
112	contradiction
113	entailment
114	entailment
115	entailment
116	neutral
117	entailment
118	neutral
119	contradiction
120	contradiction
121	entailment
122	entailment
123	entailment
124	neutral
125	entailment
126	neutral
127	neutral
128	entailment
129	neutral
130	contradiction
131	entailment
132	entailment
133	entailment
134	neutral
135	neutral
136	neutral
137	neutral
138	contradiction
139	contradiction
140	contradiction
141	contradiction
142	entailment
143	entailment
144	contradiction
145	entailment
146	entailment
147	entailment
148	entailment
149	contradiction
150	neutral
151	contradiction
152	contradiction
153	entailment
154	entailment
155	entailment
156	entailment
157	entailment
158	entailment
159	contradiction
160	contradiction
161	contradiction
162	contradiction
163	contradiction
164	neutral
165	entailment
166	contradiction
167	entailment
168	entailment
169	entailment
170	contradiction
171	contradiction
172	entailment
173	entailment
174	neutral
175	entailment
176	contradiction
177	entailment
178	entailment
179	contradiction
180	contradiction
181	entailment
182	neutral
183	neutral
184	contradiction
185	contradiction
186	entailment
187	contradiction
188	entailment
189	entailment
190	entailment
191	neutral
192	neutral
193	contradiction
194	neutral
195	contradiction
196	entailment
197	entailment
198	contradiction
199	neutral
200	neutral
201	entailment
202	entailment
203	contradiction
204	contradiction
205	contradiction
206	entailment
207	contradiction
208	entailment
209	entailment
210	neutral
211	contradiction
212	neutral
213	entailment
214	entailment
215	neutral
216	entailment
217	neutral
218	entailment
219	entailment
220	entailment
221	neutral
222	entailment
223	entailment
224	neutral
225	entailment
226	contradiction
227	contradiction
228	contradiction
229	contradiction
230	contradiction
231	neutral
232	contradiction
233	neutral
234	contradiction
235	entailment
236	neutral
237	entailment
238	contradiction
239	neutral
240	neutral
241	entailment
242	entailment
243	entailment
244	contradiction
245	entailment
246	entailment
247	contradiction
248	entailment
249	contradiction
250	entailment
251	neutral
252	entailment
253	entailment
254	entailment
255	entailment
256	entailment
257	entailment
258	neutral
259	neutral
260	neutral
261	contradiction
262	entailment
263	contradiction
264	entailment
265	entailment
266	entailment
267	neutral
268	entailment
269	contradiction
270	neutral
271	contradiction
272	entailment
273	entailment
274	neutral
275	entailment
276	contradiction
277	entailment
278	contradiction
279	neutral
280	neutral
281	contradiction
282	contradiction
283	entailment
284	entailment
285	neutral
286	entailment
287	neutral
288	contradiction
289	neutral
290	neutral
291	contradiction
292	contradiction
293	neutral
294	entailment
295	entailment
296	neutral
297	entailment
298	entailment
299	neutral
300	contradiction
301	entailment
302	contradiction
303	contradiction
304	neutral
305	entailment
306	contradiction
307	entailment
308	entailment
309	neutral
310	contradiction
311	neutral
312	neutral
313	entailment
314	entailment
315	entailment
316	contradiction
317	entailment
318	entailment
319	contradiction
320	contradiction
321	contradiction
322	contradiction
323	entailment
324	neutral
325	contradiction
326	entailment
327	entailment
328	neutral
329	entailment
330	contradiction
331	entailment
332	contradiction
333	entailment
334	entailment
335	entailment
336	entailment
337	neutral
338	neutral
339	neutral
340	contradiction
341	entailment
342	neutral
343	entailment
344	contradiction
345	contradiction
346	neutral
347	entailment
348	entailment
349	entailment
350	entailment
351	entailment
352	contradiction
353	neutral
354	entailment
355	contradiction
356	entailment
357	neutral
358	entailment
359	entailment
360	entailment
361	contradiction
362	contradiction
363	entailment
364	contradiction
365	contradiction
366	contradiction
367	entailment
368	contradiction
369	neutral
370	entailment
371	entailment
372	contradiction
373	neutral
374	contradiction
375	neutral
376	contradiction
377	entailment
378	contradiction
379	entailment
380	neutral
381	neutral
382	neutral
383	contradiction
384	neutral
385	contradiction
386	entailment
387	contradiction
388	neutral
389	entailment
390	entailment
391	contradiction
392	contradiction
393	neutral
394	neutral
395	neutral
396	entailment
397	entailment
398	contradiction
399	neutral
400	neutral
401	contradiction
402	entailment
403	entailment
404	neutral
405	neutral
406	entailment
407	entailment
408	contradiction
409	neutral
410	neutral
411	contradiction
412	contradiction
413	neutral
414	entailment
415	contradiction
416	entailment
417	neutral
418	contradiction
419	entailment
420	neutral
421	entailment
422	entailment
423	neutral
424	contradiction
425	contradiction
426	contradiction
427	neutral
428	contradiction
429	neutral
430	neutral
431	entailment
432	contradiction
433	neutral
434	neutral
435	neutral
436	contradiction
437	entailment
438	entailment
439	neutral
440	entailment
441	entailment
442	contradiction
443	neutral
444	entailment
445	entailment
446	entailment
447	neutral
448	neutral
449	neutral
450	entailment
451	contradiction
452	entailment
453	neutral
454	entailment
455	entailment
456	contradiction
457	contradiction
458	entailment
459	entailment
460	neutral
461	entailment
462	neutral
463	neutral
464	contradiction
465	entailment
466	entailment
467	contradiction
468	neutral
469	neutral
470	neutral
471	entailment
472	entailment
473	contradiction
474	neutral
475	entailment
476	contradiction
477	neutral
478	contradiction
479	neutral
480	entailment
481	contradiction
482	entailment
483	entailment
484	entailment
485	contradiction
486	contradiction
487	neutral
488	contradiction
489	entailment
490	entailment
491	contradiction
492	neutral
493	entailment
494	entailment
495	entailment
496	contradiction
497	contradiction
498	neutral
499	neutral
500	entailment
501	neutral
502	entailment
503	contradiction
504	entailment
505	neutral
506	contradiction
507	contradiction
508	entailment
509	contradiction
510	entailment
511	neutral
512	neutral
513	entailment
514	neutral
515	neutral
516	entailment
517	contradiction
518	neutral
519	contradiction
520	contradiction
521	contradiction
522	entailment
523	entailment
524	contradiction
525	contradiction
526	entailment
527	entailment
528	contradiction
529	neutral
530	contradiction
531	contradiction
532	entailment
533	neutral
534	contradiction
535	contradiction
536	neutral
537	contradiction
538	contradiction
539	neutral
540	entailment
541	contradiction
542	contradiction
543	neutral
544	contradiction
545	contradiction
546	entailment
547	contradiction
548	neutral
549	contradiction
550	entailment
551	entailment
552	entailment
553	contradiction
554	contradiction
555	neutral
556	neutral
557	entailment
558	contradiction
559	entailment
560	entailment
561	neutral
562	entailment
563	entailment
564	contradiction
565	entailment
566	contradiction
567	neutral
568	entailment
569	contradiction
570	entailment
571	neutral
572	entailment
573	neutral
574	entailment
575	entailment
576	neutral
577	entailment
578	contradiction
579	entailment
580	contradiction
581	contradiction
582	neutral
583	neutral
584	contradiction
585	entailment
586	neutral
587	entailment
588	contradiction
589	entailment
590	contradiction
591	contradiction
592	entailment
593	contradiction
594	contradiction
595	neutral
596	entailment
597	neutral
598	entailment
599	contradiction
600	entailment
601	contradiction
602	entailment
603	entailment
604	contradiction
605	contradiction
606	contradiction
607	neutral
608	contradiction
609	contradiction
610	neutral
611	entailment
612	entailment
613	contradiction
614	contradiction
615	neutral
616	entailment
617	contradiction
618	entailment
619	contradiction
620	entailment
621	entailment
622	entailment
623	neutral
624	contradiction
625	neutral
626	contradiction
627	contradiction
628	entailment
629	entailment
630	entailment
631	entailment
632	contradiction
633	contradiction
634	neutral
635	contradiction
636	neutral
637	entailment
638	contradiction
639	neutral
640	neutral
641	entailment
642	contradiction
643	neutral
644	neutral
645	contradiction
646	contradiction
647	entailment
648	contradiction
649	contradiction
650	neutral
651	entailment
652	neutral
653	entailment
654	neutral
655	contradiction
656	entailment
657	entailment
658	entailment
659	contradiction
660	neutral
661	contradiction
662	contradiction
663	neutral
664	entailment
665	entailment
666	entailment
667	contradiction
668	entailment
669	contradiction
670	entailment
671	entailment
672	neutral
673	contradiction
