index	prediction
0	entailment
1	neutral
2	neutral
3	contradiction
4	contradiction
5	contradiction
6	neutral
7	entailment
8	contradiction
9	contradiction
10	neutral
11	neutral
12	entailment
13	neutral
14	entailment
15	neutral
16	entailment
17	neutral
18	neutral
19	entailment
20	neutral
21	entailment
22	entailment
23	contradiction
24	entailment
25	entailment
26	entailment
27	entailment
28	neutral
29	entailment
30	entailment
31	contradiction
32	neutral
33	contradiction
34	neutral
35	entailment
36	neutral
37	neutral
38	entailment
39	contradiction
40	neutral
41	contradiction
42	neutral
43	contradiction
44	neutral
45	entailment
46	contradiction
47	entailment
48	contradiction
49	entailment
50	entailment
51	entailment
52	entailment
53	neutral
54	entailment
55	neutral
56	neutral
57	entailment
58	entailment
59	entailment
60	contradiction
61	neutral
62	contradiction
63	entailment
64	contradiction
65	entailment
66	contradiction
67	entailment
68	neutral
69	neutral
70	neutral
71	contradiction
72	neutral
73	neutral
74	entailment
75	contradiction
76	contradiction
77	contradiction
78	entailment
79	entailment
80	entailment
81	contradiction
82	neutral
83	neutral
84	contradiction
85	contradiction
86	contradiction
87	neutral
88	entailment
89	contradiction
90	contradiction
91	entailment
92	entailment
93	entailment
94	entailment
95	contradiction
96	entailment
97	neutral
98	contradiction
99	contradiction
100	contradiction
101	neutral
102	entailment
103	entailment
104	contradiction
105	neutral
106	neutral
107	neutral
108	contradiction
109	contradiction
110	entailment
111	entailment
112	neutral
113	contradiction
114	entailment
115	contradiction
116	neutral
117	neutral
118	entailment
119	contradiction
120	entailment
121	entailment
122	entailment
123	contradiction
124	neutral
125	neutral
126	entailment
127	neutral
128	entailment
129	contradiction
130	neutral
131	entailment
132	neutral
133	entailment
134	entailment
135	contradiction
136	neutral
137	neutral
138	entailment
139	contradiction
140	neutral
141	contradiction
142	entailment
143	contradiction
144	contradiction
145	entailment
146	neutral
147	neutral
148	entailment
149	neutral
150	neutral
151	entailment
152	entailment
153	entailment
154	entailment
155	contradiction
156	neutral
157	neutral
158	contradiction
159	contradiction
160	entailment
161	contradiction
162	entailment
163	neutral
164	neutral
165	entailment
166	contradiction
167	contradiction
168	entailment
169	neutral
170	entailment
171	entailment
172	neutral
173	entailment
174	entailment
175	entailment
176	entailment
177	entailment
178	neutral
179	entailment
180	entailment
181	entailment
182	contradiction
183	neutral
184	neutral
185	entailment
186	entailment
187	entailment
188	contradiction
189	entailment
190	entailment
191	neutral
192	entailment
193	contradiction
194	neutral
195	neutral
196	contradiction
197	neutral
198	entailment
199	neutral
200	neutral
201	entailment
202	contradiction
203	entailment
204	entailment
205	neutral
206	contradiction
207	neutral
208	entailment
209	neutral
210	entailment
211	entailment
212	entailment
213	entailment
214	entailment
215	entailment
216	entailment
217	contradiction
218	entailment
219	contradiction
220	contradiction
221	entailment
222	entailment
223	neutral
224	contradiction
225	entailment
226	neutral
227	contradiction
228	entailment
229	contradiction
230	neutral
231	neutral
232	entailment
233	entailment
234	entailment
235	neutral
236	entailment
237	neutral
238	contradiction
239	contradiction
240	neutral
241	contradiction
242	contradiction
243	entailment
244	entailment
245	neutral
246	entailment
247	neutral
248	entailment
249	neutral
250	neutral
251	contradiction
252	entailment
253	neutral
254	neutral
255	neutral
256	neutral
257	neutral
258	contradiction
259	contradiction
260	contradiction
261	entailment
262	entailment
263	contradiction
264	entailment
265	contradiction
266	neutral
267	neutral
268	entailment
269	neutral
270	entailment
271	neutral
272	contradiction
273	entailment
274	contradiction
275	neutral
276	neutral
277	entailment
278	neutral
279	neutral
280	entailment
281	entailment
282	neutral
283	entailment
284	neutral
285	contradiction
286	contradiction
287	neutral
288	neutral
289	neutral
290	contradiction
291	entailment
292	neutral
293	entailment
294	entailment
295	neutral
296	entailment
297	entailment
298	neutral
299	entailment
300	neutral
301	neutral
302	neutral
303	entailment
304	neutral
305	neutral
306	contradiction
307	contradiction
308	entailment
309	neutral
310	contradiction
311	neutral
312	entailment
313	entailment
314	neutral
315	entailment
316	neutral
317	neutral
318	entailment
319	entailment
320	neutral
321	neutral
322	contradiction
323	entailment
324	neutral
325	neutral
326	contradiction
327	neutral
328	entailment
329	entailment
330	entailment
331	contradiction
332	entailment
333	neutral
334	entailment
335	entailment
336	neutral
337	entailment
338	contradiction
339	neutral
340	contradiction
341	contradiction
342	contradiction
343	contradiction
344	entailment
345	entailment
346	entailment
347	entailment
348	neutral
349	entailment
350	entailment
351	entailment
352	neutral
353	contradiction
354	contradiction
355	contradiction
356	entailment
357	neutral
358	neutral
359	neutral
360	neutral
361	entailment
362	entailment
363	entailment
364	contradiction
365	neutral
366	neutral
367	entailment
368	neutral
369	neutral
370	entailment
371	contradiction
372	contradiction
373	neutral
374	neutral
375	entailment
376	neutral
377	neutral
378	entailment
379	entailment
380	entailment
381	entailment
382	entailment
383	contradiction
384	neutral
385	neutral
386	entailment
387	contradiction
388	neutral
389	contradiction
390	entailment
391	entailment
392	contradiction
393	contradiction
394	contradiction
395	neutral
396	entailment
397	contradiction
398	neutral
399	entailment
400	entailment
401	neutral
402	entailment
